experience_id,scenario_id,original_word_count,cleaned_word_count,typos_fixed,placeholders_removed,signatures_removed,ai_prefixes_removed,calibration_score,original_buddhist_score,adjusted_buddhist_score,kept,rejection_reason
107,15,160,156,0,1,True,0,0.5,5.1,4.641,False,composite=4.87 < 5.0
108,29,362,360,0,0,False,1,5.0,7.54,6.334,True,
109,19,219,219,0,0,False,0,7.0,5.935,6.055,True,
110,24,306,306,0,0,False,0,5.0,6.56,5.865,True,
111,19,285,285,0,0,False,0,7.0,6.44,6.128,True,
112,28,232,232,0,0,False,0,7.0,7.58,7.631,True,
113,23,113,109,2,0,False,1,10.0,5.74,6.314,True,
114,16,304,300,2,1,True,0,3.0,7.95,6.869,True,
115,12,128,127,2,0,False,1,7.0,5.35,5.564,True,
116,25,347,347,0,0,False,0,7.0,6.03,5.349,True,
117,24,224,222,3,0,False,0,7.0,5.84,5.94,True,
118,9,224,222,1,1,False,1,1.5,7.7,7.003,False,calibration=1.5 < 2.0
119,28,187,187,0,0,False,0,10.0,5.85,6.435,True,
120,26,78,78,1,0,False,0,10.0,5.925,6.518,True,
121,19,273,273,2,0,False,0,7.0,6.755,6.512,True,
122,24,197,197,1,0,False,0,10.0,7.97,8.767,True,
123,12,720,705,0,1,False,14,0.5,8.29,5.658,False,composite=4.93 < 5.0
124,4,749,731,3,0,False,18,0.5,7.03,4.798,False,composite=4.73 < 5.0
125,10,341,339,1,0,False,1,0.5,7.75,6.072,False,calibration=0.5 < 2.0
126,21,282,282,0,0,False,0,3.0,6.77,5.966,True,
127,25,139,139,0,0,False,0,10.0,6.08,6.688,True,
128,1,408,400,3,0,False,8,0.5,6.99,5.089,False,composite=4.84 < 5.0
129,11,296,295,0,0,False,1,3.0,7.22,6.273,True,
130,8,219,219,0,0,False,0,0.5,6.61,5.901,False,calibration=0.5 < 2.0
131,24,335,333,1,0,False,0,5.0,7.52,6.52,True,
132,26,158,158,0,0,False,0,7.0,5.99,6.23,True,
133,3,285,281,0,1,True,1,0.5,6.75,5.645,False,composite=4.93 < 5.0
134,27,332,327,0,2,True,0,3.0,7.645,6.407,True,
135,12,314,308,1,1,True,0,3.0,6.065,5.194,True,
136,23,127,126,0,0,False,1,7.0,5.66,5.886,True,
137,10,281,272,5,1,True,1,0.5,6.575,5.552,False,calibration=0.5 < 2.0
138,10,163,161,0,0,False,1,0.5,7.01,6.379,False,calibration=0.5 < 2.0
139,22,322,319,2,0,False,1,7.0,5.865,5.374,True,
140,26,178,178,0,0,False,0,7.0,6.795,7.067,True,
141,8,185,184,1,0,False,1,0.5,7.08,6.443,False,calibration=0.5 < 2.0
142,27,252,252,0,0,False,0,3.0,6.32,5.752,True,
143,22,252,252,0,0,False,0,10.0,7.09,7.393,True,
144,19,334,334,0,0,False,0,5.0,7.1,6.149,True,
145,13,203,201,2,0,False,0,5.0,5.19,5.185,True,
146,20,294,290,5,0,False,1,10.0,7.95,7.958,True,
147,14,125,119,2,1,True,0,0.5,6.46,5.879,False,calibration=0.5 < 2.0
148,7,86,86,1,0,False,0,7.0,6.595,6.859,True,
149,29,319,319,0,0,False,0,5.0,7.87,6.933,True,
150,14,573,566,0,0,False,7,0.5,7.5,5.119,False,calibration=0.5 < 2.0
